lat,lon
0051.518,-000.126
0051.517,-000.127
0051.493,-000.224
0051.538,0000.034
0051.520,-000.118
0052.479,-000.922
0052.479,-000.922
0051.518,-000.111
0052.478,-000.920
0052.478,-000.920
0052.480,-000.904
0052.478,-000.918
0051.453,-000.971
0051.504,-000.219
0051.472,-000.070
0051.461,-000.011
0051.587,-000.061
0051.456,0000.148
0053.797,-001.541
0053.800,-001.544
0053.802,-001.545
0053.788,-001.540
0053.869,-001.703
0053.482,-002.240
0053.480,-002.238
0053.497,-002.234
0053.592,-002.297
0051.588,-000.059
0051.493,-000.224
0053.749,-002.482
0052.627,0001.294
0052.479,-000.922
0052.477,-000.922
0052.479,-000.922
0052.480,-000.923
0052.480,-000.904
0051.520,-000.123
0051.456,0000.148
0051.523,-000.101
0051.731,0000.475
0051.734,0000.472
0052.479,-000.922
0053.801,-001.545
0051.659,-000.401
0051.411,-000.300
0051.521,-000.124
0051.516,-000.127
0052.637,-001.133
0051.753,-001.262
0053.959,-001.080
0053.817,-003.054
0052.202,0000.125
0051.435,-000.512
0051.375,-000.101
0051.535,-000.106
0051.535,-000.106
0051.514,-000.087
0051.514,-000.087
0051.514,-000.087
0051.514,-000.087
0051.514,-000.087
0051.514,-000.087
0051.514,-000.087
0051.514,-000.087
0051.493,-000.224
0051.492,-000.224
0051.493,-000.224
0051.492,-000.224
0051.492,-000.224
0053.749,-002.482
0051.753,-001.262
0051.492,-000.224
0052.202,0000.125
0052.478,-000.920
0051.492,-000.224
0051.514,-000.087
0053.749,-002.482
0052.479,-000.922
0053.480,-002.238
0051.492,-000.224
0051.419,-002.587
0051.564,-000.135
0051.516,-000.128
0051.520,-000.122
0050.917,-001.453
0053.957,-001.080
0053.957,-001.080
0053.957,-001.080
0051.517,-000.120
0052.478,-000.920
0051.516,-000.128
0052.627,0001.294
0052.480,-000.904
0051.517,-000.119
0051.518,-000.121
0051.518,-000.111
0051.517,-000.127
0051.518,-000.120
0051.517,-000.127
0051.492,-000.224
0051.517,-000.120
0051.564,-000.135
0051.518,-000.121
0051.492,-000.224
0051.514,-000.087
0053.497,-002.234
0052.202,0000.125
0051.564,-000.135
0051.514,-000.087
0051.518,-000.120
0051.517,-000.120
0051.512,-000.128
0051.516,-000.128
0051.517,-000.127
0051.513,-000.138
0051.493,-000.141
0051.514,-000.087
0051.493,-000.224
0051.493,-000.141
0051.512,-000.128
0051.516,-000.128
0051.517,-000.120
0051.513,-000.138
0051.518,-000.120
0051.419,-002.587
0051.514,-000.162
0051.519,-000.169
0051.517,-000.166
0051.516,-000.164
0051.515,-000.163
0051.514,-000.162
0051.514,-000.160
0051.519,-000.169
0051.519,-000.169
0051.513,-000.158
0051.516,-000.164
0051.514,-000.148
0051.513,-000.136
0051.516,-000.139
0051.516,-000.140
0051.514,-000.139
0051.508,-000.141
0051.522,-000.158
0051.538,-000.142
0051.508,-000.126
0051.509,-000.144
0051.524,-000.137
0051.516,-000.131
0051.513,-000.134
0051.512,-000.129
0051.532,-000.106
0051.515,-000.141
0052.208,0000.119
0051.493,-000.226
0052.206,0000.121
0052.202,0000.125
0051.492,-000.261
0051.502,-000.191
0051.489,-000.206
0051.454,-002.598
0051.512,-000.187
0051.519,-000.169
0051.493,-000.230
0051.459,-002.587
0051.514,-000.087
0051.456,-002.607
0051.514,-000.087
0051.865,-002.246
0051.493,-000.224
0051.492,-000.224
0051.493,-000.224
0051.865,-002.246
0051.484,-000.177
0051.504,-000.083
0051.503,-000.079
0051.506,-000.088
0051.497,-000.140
0051.496,-000.145
0051.489,-000.164
0051.508,-000.141
0051.411,-000.302
0051.410,-000.307
0055.951,-003.204
0051.492,-000.261
0051.412,-000.303
0055.948,-003.192
0052.802,-001.632
0051.377,-000.102
0052.629,0001.294
0052.627,0001.293
0052.627,0001.294
0053.682,-001.496
0053.682,-001.494
0053.682,-001.496
0053.682,-001.497
0051.377,-000.102
0053.682,-001.496
0051.405,0000.015
0051.511,-000.129
0053.682,-001.498
0053.682,-001.496
0051.405,0000.016
0053.682,-001.498
0051.511,-000.126
0053.681,-001.496
0051.513,-000.129
0053.682,-001.497
0053.682,-001.496
0051.512,-000.128
0053.798,-001.550
0053.798,-001.545
0053.797,-001.543
0051.511,-000.136
0051.512,-000.131
0051.514,-000.140
0055.950,-003.188
0055.950,-003.188
0053.957,-001.080
0053.957,-001.080
0051.068,-001.796
0051.070,-001.795
0051.070,-001.795
0051.069,-001.796
0053.957,-001.080
0051.509,-000.141
0051.513,-000.139
0055.943,-003.204
0051.456,-000.972
0051.456,-000.973
0051.456,-000.972
0051.541,-000.196
0053.959,-001.080
0051.353,-001.996
0053.378,-001.472
0053.383,-001.467
0052.954,-001.148
0052.954,-001.147
0053.382,-001.469
0052.956,-001.150
0053.376,-001.474
0053.380,-001.471
0053.682,-001.495
0051.508,-000.141
0053.682,-001.497
0053.682,-001.497
0053.682,-001.497
0053.682,-001.496
0050.371,-004.140
0052.952,-001.149
0052.945,-001.166
0053.743,-000.338
0053.745,-000.340
0053.742,-000.338
0051.511,-000.126
0053.802,-003.012
0053.817,-003.055
0053.818,-003.054
0052.951,-001.139
0053.817,-003.054
0050.917,-001.453
0055.860,-004.253
0055.858,-004.257
0055.858,-004.253
0055.860,-004.258
0050.922,-001.433
0050.906,-001.404
0052.636,-001.134
0052.478,-000.920
0052.684,-001.092
0052.478,-000.918
0055.862,-004.255
0055.861,-004.255
0052.478,-000.920
0055.860,-004.254
0052.477,-000.922
0052.479,-000.922
0052.479,-000.922
0055.871,-004.139
0053.405,-002.983
0053.406,-002.985
0053.405,-002.986
0053.405,-002.983
0051.580,0000.183
0053.405,-002.987
0051.575,0000.183
0051.429,-000.167
0053.192,-002.884
0051.514,-000.157
0053.190,-002.891
0053.191,-002.889
0051.512,-000.133
0054.976,-001.613
0055.000,-001.619
0054.973,-001.614
0051.656,-000.397
0053.498,-002.237
0051.628,-000.389
0051.547,-000.142
0051.659,-000.401
0051.517,-000.119
0051.582,-000.033
0051.547,-000.142
0053.475,-002.242
0053.482,-002.247
0051.515,-000.123
0051.412,-000.302
0051.537,-000.141
0053.482,-002.240
0051.409,-000.305
0051.411,-000.300
0053.484,-002.245
0053.482,-002.236
0051.533,-000.106
0051.455,-000.969
0051.017,-003.104
0052.976,-000.029
0051.015,-003.102
0053.542,-002.110
0053.542,-002.109
0052.980,-000.022
0053.799,-001.543
0053.799,-001.545
0051.516,-000.135
0055.944,-003.184
0051.456,-000.973
0055.952,-003.198
0051.455,-000.969
0051.520,-000.152
0051.519,-000.135
0051.460,-003.187
0051.513,-000.307
0055.959,-003.213
0051.488,-000.166
0055.959,-003.211
0051.478,-003.176
0051.483,-000.178
0052.952,-001.147
0051.511,-000.305
0051.493,-000.139
0051.482,-003.176
0051.511,-000.305
0052.955,-001.151
0051.483,-003.174
0052.954,-001.143
0051.492,-000.229
0055.860,-004.252
