"interval","mac","timestamp","pos1","rep1","pos2","rep2","pos3","mac2","pos4","rep3","pos5"
1,01,0.72,01,1,001,1,001,01,009,1,009
1,02,0.02,02,1,002,1,002,99,001,1,001
1,02,0.08,03,2,-10,2,-10,99,002,1,002
1,02,1.00,04,2,-10,2,-10,99,003,1,003
1,02,0.68,05,2,-10,2,-10,99,004,1,004
1,07,0.43,06,1,003,1,003,99,005,1,005
1,07,0.04,07,2,-10,2,-10,99,006,1,006
1,07,0.57,08,2,-10,2,-10,99,007,1,007
1,07,0.82,09,2,-10,2,-10,99,008,1,008
1,08,0.19,10,1,004,1,004,08,010,1,010
1,08,0.70,11,2,-10,2,-10,08,011,2,-10
1,08,0.15,12,2,-10,2,-10,08,012,2,-10
1,08,0.51,13,2,-10,2,-10,08,013,2,-10
2,01,1.56,01,1,001,2,-10,01,004,2,-10
2,02,1.64,02,1,002,2,-10,99,001,1,001
2,02,1.67,03,2,-10,2,-10,99,002,1,002
2,02,1.82,04,2,-10,2,-10,99,003,1,003
2,03,1.59,05,1,003,1,001,03,005,1,004
2,05,1.77,06,1,004,1,002,05,006,1,005
2,05,1.75,07,2,-10,2,-10,05,007,2,-10
2,05,1.80,08,2,-10,2,-10,05,008,2,-10
3,02,2.03,01,1,001,2,-10,99,001,1,001
3,02,2.37,02,2,-10,2,-10,99,002,1,002
3,02,2.54,03,2,-10,2,-10,99,003,1,003
3,06,2.19,04,1,002,1,001,06,004,1,004
3,06,2.59,05,2,-10,2,-10,06,005,2,-10
3,08,2.47,06,1,003,2,-10,08,006,2,-10
3,08,2.60,07,2,-10,2,-10,08,007,2,-10
3,09,2.29,08,1,004,1,002,09,008,1,005
3,10,2.90,09,1,005,1,003,10,009,1,006
4,01,3.88,01,1,001,2,-10,01,006,2,-10
4,02,3.40,02,1,002,2,-10,99,001,1,001
4,02,3.49,03,2,-10,2,-10,99,002,1,002
4,02,3.82,04,2,-10,2,-10,99,003,1,003
4,03,3.23,05,1,003,2,-10,03,007,2,-10
4,04,3.59,06,1,004,1,001,04,008,1,006
4,05,3.86,07,1,005,2,-10,05,009,2,-10
4,07,3.06,08,1,006,2,-10,99,004,1,004
4,07,3.80,09,2,-10,2,-10,99,005,1,005
4,08,3.39,10,1,007,2,-10,08,010,2,-10
4,09,3.75,11,1,008,2,-10,09,011,2,-10
5,02,4.74,01,1,001,1,001,99,001,1,001
5,02,4.93,02,2,-10,2,-10,99,002,1,002
5,05,4.22,03,1,002,2,-10,05,005,2,005
5,07,4.13,04,1,003,2,-10,99,003,1,003
5,07,4.43,05,2,-10,2,-10,99,004,1,004
5,08,4.70,06,1,004,2,-10,08,006,2,-10
5,09,4.60,07,1,005,2,-10,09,007,2,-10
5,09,4.72,08,2,-10,2,-19,09,008,2,-10
5,10,4.95,09,1,006,2,-10,10,009,2,-10
